id_data,variable,id_nivel,nivel_value,id_time,time,value_label,value
1,tasa_desempleo,dpto_gen,5_1,1,2001,Tasa de desempleo (%),13.200125496295353
1,tasa_desempleo,dpto_gen,5_1,1,2002,Tasa de desempleo (%),12.45259241975114
1,tasa_desempleo,dpto_gen,5_1,1,2003,Tasa de desempleo (%),10.78077071636071
1,tasa_desempleo,dpto_gen,5_1,1,2004,Tasa de desempleo (%),11.320735943221859
1,tasa_desempleo,dpto_gen,5_1,1,2005,Tasa de desempleo (%),9.495286576409113
1,tasa_desempleo,dpto_gen,5_1,1,2006,Tasa de desempleo (%),10.446112690565956
1,tasa_desempleo,dpto_gen,5_1,1,2007,Tasa de desempleo (%),8.9982933194747
1,tasa_desempleo,dpto_gen,5_1,1,2008,Tasa de desempleo (%),9.620584122596139
1,tasa_desempleo,dpto_gen,5_1,1,2009,Tasa de desempleo (%),10.217732871190412
1,tasa_desempleo,dpto_gen,5_1,1,2010,Tasa de desempleo (%),9.158093458355625
1,tasa_desempleo,dpto_gen,5_1,1,2011,Tasa de desempleo (%),8.068022889059003
1,tasa_desempleo,dpto_gen,5_1,1,2012,Tasa de desempleo (%),7.806575271689159
1,tasa_desempleo,dpto_gen,5_1,1,2013,Tasa de desempleo (%),7.531508815086588
1,tasa_desempleo,dpto_gen,5_1,1,2014,Tasa de desempleo (%),7.5516372072082145
1,tasa_desempleo,dpto_gen,5_1,1,2015,Tasa de desempleo (%),7.399808572789112
1,tasa_desempleo,dpto_gen,5_1,1,2016,Tasa de desempleo (%),7.054726311300019
1,tasa_desempleo,dpto_gen,5_1,1,2017,Tasa de desempleo (%),7.626150528692902
1,tasa_desempleo,dpto_gen,5_1,1,2018,Tasa de desempleo (%),8.348554785822376
1,tasa_desempleo,dpto_gen,5_1,1,2019,Tasa de desempleo (%),8.431460423223081
1,tasa_desempleo,dpto_gen,5_1,1,2020,Tasa de desempleo (%),12.737331146393382
1,tasa_desempleo,dpto_gen,8_1,1,2001,Tasa de desempleo (%),11.278510848670111
1,tasa_desempleo,dpto_gen,8_1,1,2002,Tasa de desempleo (%),12.745147222980796
1,tasa_desempleo,dpto_gen,8_1,1,2003,Tasa de desempleo (%),11.386393557368756
1,tasa_desempleo,dpto_gen,8_1,1,2004,Tasa de desempleo (%),10.090714219841798
1,tasa_desempleo,dpto_gen,8_1,1,2005,Tasa de desempleo (%),9.589874443764748
1,tasa_desempleo,dpto_gen,8_1,1,2006,Tasa de desempleo (%),8.765759332435561
1,tasa_desempleo,dpto_gen,8_1,1,2007,Tasa de desempleo (%),8.909738700858972
1,tasa_desempleo,dpto_gen,8_1,1,2008,Tasa de desempleo (%),8.909809879741983
1,tasa_desempleo,dpto_gen,8_1,1,2009,Tasa de desempleo (%),7.888092563692211
1,tasa_desempleo,dpto_gen,8_1,1,2010,Tasa de desempleo (%),7.042067374370588
1,tasa_desempleo,dpto_gen,8_1,1,2011,Tasa de desempleo (%),5.678271496615693
1,tasa_desempleo,dpto_gen,8_1,1,2012,Tasa de desempleo (%),5.387513846125325
1,tasa_desempleo,dpto_gen,8_1,1,2013,Tasa de desempleo (%),5.1409223157856845
1,tasa_desempleo,dpto_gen,8_1,1,2014,Tasa de desempleo (%),5.265011290656267
1,tasa_desempleo,dpto_gen,8_1,1,2015,Tasa de desempleo (%),5.182004142305391
1,tasa_desempleo,dpto_gen,8_1,1,2016,Tasa de desempleo (%),5.210083087047797
